case_id,dtype,layout,m,n,k,groups,group_lengths,variable_capacity,allow_empty_groups,backend,blas_streams,warmup,samples,correctness_repeats
matrix_0168_fp16_tn_g8_m4096_n5120_k4096_c32768,fp16,TN,4096,5120,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0169_fp16_nt_g8_m4096_n6144_k4096_c32768,fp16,NT,4096,6144,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0170_fp16_nn_g8_m4096_n6144_k4096_c32768,fp16,NN,4096,6144,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0171_fp16_tn_g8_m4096_n6144_k4096_c32768,fp16,TN,4096,6144,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0172_fp16_nt_g8_m4096_n7168_k4096_c32768,fp16,NT,4096,7168,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0173_fp16_nn_g8_m4096_n7168_k4096_c32768,fp16,NN,4096,7168,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0174_fp16_tn_g8_m4096_n7168_k4096_c32768,fp16,TN,4096,7168,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0175_fp16_nt_g8_m1024_n4096_k4096_c8192,fp16,NT,1024,4096,4096,8,1024;1024;1024;1024;1024;1024;1024;1024,8192,1,both,4,10,30,3
matrix_0176_fp16_nn_g8_m1024_n4096_k4096_c8192,fp16,NN,1024,4096,4096,8,1024;1024;1024;1024;1024;1024;1024;1024,8192,1,both,4,10,30,3
matrix_0177_fp16_tn_g8_m1024_n4096_k4096_c32768,fp16,TN,1024,4096,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0178_fp16_nt_g8_m2048_n4096_k4096_c16384,fp16,NT,2048,4096,4096,8,2048;2048;2048;2048;2048;2048;2048;2048,16384,1,both,4,10,30,3
matrix_0179_fp16_nn_g8_m2048_n4096_k4096_c16384,fp16,NN,2048,4096,4096,8,2048;2048;2048;2048;2048;2048;2048;2048,16384,1,both,4,10,30,3
matrix_0180_fp16_tn_g8_m2048_n4096_k4096_c32768,fp16,TN,2048,4096,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0181_fp16_nt_g8_m4096_n4096_k1024_c32768,fp16,NT,4096,4096,1024,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0182_fp16_nn_g8_m4096_n4096_k1024_c32768,fp16,NN,4096,4096,1024,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0183_fp16_tn_g8_m4096_n4096_k1024_c8192,fp16,TN,4096,4096,1024,8,1024;1024;1024;1024;1024;1024;1024;1024,8192,1,both,4,10,30,3
matrix_0184_fp16_nt_g8_m4096_n4096_k2048_c32768,fp16,NT,4096,4096,2048,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0185_fp16_nn_g8_m4096_n4096_k2048_c32768,fp16,NN,4096,4096,2048,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0186_fp16_tn_g8_m4096_n4096_k2048_c16384,fp16,TN,4096,4096,2048,8,2048;2048;2048;2048;2048;2048;2048;2048,16384,1,both,4,10,30,3
matrix_0187_fp16_nt_g8_m4096_n4096_k8192_c32768,fp16,NT,4096,4096,8192,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0188_fp16_nn_g8_m4096_n4096_k8192_c32768,fp16,NN,4096,4096,8192,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0189_fp16_tn_g8_m4096_n4096_k8192_c65536,fp16,TN,4096,4096,8192,8,8192;8192;8192;8192;8192;8192;8192;8192,65536,1,both,4,10,30,3
matrix_0190_fp16_nt_g16_m4096_n2048_k4096_c65536,fp16,NT,4096,2048,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0191_fp16_nn_g16_m4096_n2048_k4096_c65536,fp16,NN,4096,2048,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0192_fp16_tn_g16_m4096_n2048_k4096_c65536,fp16,TN,4096,2048,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0193_fp16_nt_g16_m4096_n3072_k4096_c65536,fp16,NT,4096,3072,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0194_fp16_nn_g16_m4096_n3072_k4096_c65536,fp16,NN,4096,3072,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0195_fp16_tn_g16_m4096_n3072_k4096_c65536,fp16,TN,4096,3072,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0196_fp16_nt_g16_m4096_n4096_k4096_c65536,fp16,NT,4096,4096,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0197_fp16_nn_g16_m4096_n4096_k4096_c65536,fp16,NN,4096,4096,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0198_fp16_tn_g16_m4096_n4096_k4096_c65536,fp16,TN,4096,4096,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0199_fp16_nt_g16_m4096_n5120_k4096_c65536,fp16,NT,4096,5120,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0200_fp16_nn_g16_m4096_n5120_k4096_c65536,fp16,NN,4096,5120,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0201_fp16_tn_g16_m4096_n5120_k4096_c65536,fp16,TN,4096,5120,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0202_fp16_nt_g16_m4096_n6144_k4096_c65536,fp16,NT,4096,6144,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0203_fp16_nn_g16_m4096_n6144_k4096_c65536,fp16,NN,4096,6144,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0204_fp16_tn_g16_m4096_n6144_k4096_c65536,fp16,TN,4096,6144,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0205_fp16_nt_g16_m4096_n7168_k4096_c65536,fp16,NT,4096,7168,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0206_fp16_nn_g16_m4096_n7168_k4096_c65536,fp16,NN,4096,7168,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0207_fp16_tn_g16_m4096_n7168_k4096_c65536,fp16,TN,4096,7168,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0208_fp16_nt_g16_m1024_n4096_k4096_c16384,fp16,NT,1024,4096,4096,16,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024,16384,1,both,4,10,30,3
matrix_0209_fp16_nn_g16_m1024_n4096_k4096_c16384,fp16,NN,1024,4096,4096,16,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024,16384,1,both,4,10,30,3
matrix_0210_fp16_tn_g16_m1024_n4096_k4096_c65536,fp16,TN,1024,4096,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0211_fp16_nt_g16_m2048_n4096_k4096_c32768,fp16,NT,2048,4096,4096,16,2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048,32768,1,both,4,10,30,3
matrix_0212_fp16_nn_g16_m2048_n4096_k4096_c32768,fp16,NN,2048,4096,4096,16,2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048,32768,1,both,4,10,30,3
matrix_0213_fp16_tn_g16_m2048_n4096_k4096_c65536,fp16,TN,2048,4096,4096,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0214_fp16_nt_g16_m4096_n4096_k1024_c65536,fp16,NT,4096,4096,1024,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0215_fp16_nn_g16_m4096_n4096_k1024_c65536,fp16,NN,4096,4096,1024,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0216_fp16_tn_g16_m4096_n4096_k1024_c16384,fp16,TN,4096,4096,1024,16,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024,16384,1,both,4,10,30,3
matrix_0217_fp16_nt_g16_m4096_n4096_k2048_c65536,fp16,NT,4096,4096,2048,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0218_fp16_nn_g16_m4096_n4096_k2048_c65536,fp16,NN,4096,4096,2048,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0219_fp16_tn_g16_m4096_n4096_k2048_c32768,fp16,TN,4096,4096,2048,16,2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048;2048,32768,1,both,4,10,30,3
matrix_0220_fp16_nt_g16_m4096_n4096_k8192_c65536,fp16,NT,4096,4096,8192,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0221_fp16_nn_g16_m4096_n4096_k8192_c65536,fp16,NN,4096,4096,8192,16,4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096;4096,65536,1,both,4,10,30,3
matrix_0222_fp16_tn_g16_m4096_n4096_k8192_c131072,fp16,TN,4096,4096,8192,16,8192;8192;8192;8192;8192;8192;8192;8192;8192;8192;8192;8192;8192;8192;8192;8192,131072,1,both,4,10,30,3
matrix_0223_bf16_nt_g1_m4096_n2048_k4096_c4096,bf16,NT,4096,2048,4096,1,4096,4096,1,both,4,10,30,3
matrix_0224_bf16_nn_g1_m4096_n2048_k4096_c4096,bf16,NN,4096,2048,4096,1,4096,4096,1,both,4,10,30,3
matrix_0225_bf16_tn_g1_m4096_n2048_k4096_c4096,bf16,TN,4096,2048,4096,1,4096,4096,1,both,4,10,30,3
matrix_0226_bf16_nt_g1_m4096_n3072_k4096_c4096,bf16,NT,4096,3072,4096,1,4096,4096,1,both,4,10,30,3
matrix_0227_bf16_nn_g1_m4096_n3072_k4096_c4096,bf16,NN,4096,3072,4096,1,4096,4096,1,both,4,10,30,3
matrix_0228_bf16_tn_g1_m4096_n3072_k4096_c4096,bf16,TN,4096,3072,4096,1,4096,4096,1,both,4,10,30,3
matrix_0229_bf16_nt_g1_m4096_n4096_k4096_c4096,bf16,NT,4096,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0230_bf16_nn_g1_m4096_n4096_k4096_c4096,bf16,NN,4096,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0231_bf16_tn_g1_m4096_n4096_k4096_c4096,bf16,TN,4096,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0232_bf16_nt_g1_m4096_n5120_k4096_c4096,bf16,NT,4096,5120,4096,1,4096,4096,1,both,4,10,30,3
matrix_0233_bf16_nn_g1_m4096_n5120_k4096_c4096,bf16,NN,4096,5120,4096,1,4096,4096,1,both,4,10,30,3
matrix_0234_bf16_tn_g1_m4096_n5120_k4096_c4096,bf16,TN,4096,5120,4096,1,4096,4096,1,both,4,10,30,3
matrix_0235_bf16_nt_g1_m4096_n6144_k4096_c4096,bf16,NT,4096,6144,4096,1,4096,4096,1,both,4,10,30,3
matrix_0236_bf16_nn_g1_m4096_n6144_k4096_c4096,bf16,NN,4096,6144,4096,1,4096,4096,1,both,4,10,30,3
matrix_0237_bf16_tn_g1_m4096_n6144_k4096_c4096,bf16,TN,4096,6144,4096,1,4096,4096,1,both,4,10,30,3
matrix_0238_bf16_nt_g1_m4096_n7168_k4096_c4096,bf16,NT,4096,7168,4096,1,4096,4096,1,both,4,10,30,3
matrix_0239_bf16_nn_g1_m4096_n7168_k4096_c4096,bf16,NN,4096,7168,4096,1,4096,4096,1,both,4,10,30,3
matrix_0240_bf16_tn_g1_m4096_n7168_k4096_c4096,bf16,TN,4096,7168,4096,1,4096,4096,1,both,4,10,30,3
matrix_0241_bf16_nt_g1_m1024_n4096_k4096_c1024,bf16,NT,1024,4096,4096,1,1024,1024,1,both,4,10,30,3
matrix_0242_bf16_nn_g1_m1024_n4096_k4096_c1024,bf16,NN,1024,4096,4096,1,1024,1024,1,both,4,10,30,3
matrix_0243_bf16_tn_g1_m1024_n4096_k4096_c4096,bf16,TN,1024,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0244_bf16_nt_g1_m2048_n4096_k4096_c2048,bf16,NT,2048,4096,4096,1,2048,2048,1,both,4,10,30,3
matrix_0245_bf16_nn_g1_m2048_n4096_k4096_c2048,bf16,NN,2048,4096,4096,1,2048,2048,1,both,4,10,30,3
matrix_0246_bf16_tn_g1_m2048_n4096_k4096_c4096,bf16,TN,2048,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0247_bf16_nt_g1_m4096_n4096_k1024_c4096,bf16,NT,4096,4096,1024,1,4096,4096,1,both,4,10,30,3
matrix_0248_bf16_nn_g1_m4096_n4096_k1024_c4096,bf16,NN,4096,4096,1024,1,4096,4096,1,both,4,10,30,3
matrix_0249_bf16_tn_g1_m4096_n4096_k1024_c1024,bf16,TN,4096,4096,1024,1,1024,1024,1,both,4,10,30,3
matrix_0250_bf16_nt_g1_m4096_n4096_k2048_c4096,bf16,NT,4096,4096,2048,1,4096,4096,1,both,4,10,30,3
matrix_0251_bf16_nn_g1_m4096_n4096_k2048_c4096,bf16,NN,4096,4096,2048,1,4096,4096,1,both,4,10,30,3
matrix_0252_bf16_tn_g1_m4096_n4096_k2048_c2048,bf16,TN,4096,4096,2048,1,2048,2048,1,both,4,10,30,3
matrix_0253_bf16_nt_g1_m4096_n4096_k8192_c4096,bf16,NT,4096,4096,8192,1,4096,4096,1,both,4,10,30,3
matrix_0254_bf16_nn_g1_m4096_n4096_k8192_c4096,bf16,NN,4096,4096,8192,1,4096,4096,1,both,4,10,30,3
matrix_0255_bf16_tn_g1_m4096_n4096_k8192_c8192,bf16,TN,4096,4096,8192,1,8192,8192,1,both,4,10,30,3
matrix_0256_bf16_nt_g3_m4096_n2048_k4096_c12288,bf16,NT,4096,2048,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0257_bf16_nn_g3_m4096_n2048_k4096_c12288,bf16,NN,4096,2048,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0258_bf16_tn_g3_m4096_n2048_k4096_c12288,bf16,TN,4096,2048,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0259_bf16_nt_g3_m4096_n3072_k4096_c12288,bf16,NT,4096,3072,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0260_bf16_nn_g3_m4096_n3072_k4096_c12288,bf16,NN,4096,3072,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0261_bf16_tn_g3_m4096_n3072_k4096_c12288,bf16,TN,4096,3072,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0262_bf16_nt_g3_m4096_n4096_k4096_c12288,bf16,NT,4096,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0263_bf16_nn_g3_m4096_n4096_k4096_c12288,bf16,NN,4096,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0264_bf16_tn_g3_m4096_n4096_k4096_c12288,bf16,TN,4096,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0265_bf16_nt_g3_m4096_n5120_k4096_c12288,bf16,NT,4096,5120,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0266_bf16_nn_g3_m4096_n5120_k4096_c12288,bf16,NN,4096,5120,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0267_bf16_tn_g3_m4096_n5120_k4096_c12288,bf16,TN,4096,5120,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0268_bf16_nt_g3_m4096_n6144_k4096_c12288,bf16,NT,4096,6144,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0269_bf16_nn_g3_m4096_n6144_k4096_c12288,bf16,NN,4096,6144,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0270_bf16_tn_g3_m4096_n6144_k4096_c12288,bf16,TN,4096,6144,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0271_bf16_nt_g3_m4096_n7168_k4096_c12288,bf16,NT,4096,7168,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0272_bf16_nn_g3_m4096_n7168_k4096_c12288,bf16,NN,4096,7168,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0273_bf16_tn_g3_m4096_n7168_k4096_c12288,bf16,TN,4096,7168,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0274_bf16_nt_g3_m1024_n4096_k4096_c3072,bf16,NT,1024,4096,4096,3,1024;1024;1024,3072,1,both,4,10,30,3
matrix_0275_bf16_nn_g3_m1024_n4096_k4096_c3072,bf16,NN,1024,4096,4096,3,1024;1024;1024,3072,1,both,4,10,30,3
matrix_0276_bf16_tn_g3_m1024_n4096_k4096_c12288,bf16,TN,1024,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0277_bf16_nt_g3_m2048_n4096_k4096_c6144,bf16,NT,2048,4096,4096,3,2048;2048;2048,6144,1,both,4,10,30,3
matrix_0278_bf16_nn_g3_m2048_n4096_k4096_c6144,bf16,NN,2048,4096,4096,3,2048;2048;2048,6144,1,both,4,10,30,3
matrix_0279_bf16_tn_g3_m2048_n4096_k4096_c12288,bf16,TN,2048,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0280_bf16_nt_g3_m4096_n4096_k1024_c12288,bf16,NT,4096,4096,1024,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0281_bf16_nn_g3_m4096_n4096_k1024_c12288,bf16,NN,4096,4096,1024,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0282_bf16_tn_g3_m4096_n4096_k1024_c3072,bf16,TN,4096,4096,1024,3,1024;1024;1024,3072,1,both,4,10,30,3
matrix_0283_bf16_nt_g3_m4096_n4096_k2048_c12288,bf16,NT,4096,4096,2048,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0284_bf16_nn_g3_m4096_n4096_k2048_c12288,bf16,NN,4096,4096,2048,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0285_bf16_tn_g3_m4096_n4096_k2048_c6144,bf16,TN,4096,4096,2048,3,2048;2048;2048,6144,1,both,4,10,30,3
matrix_0286_bf16_nt_g3_m4096_n4096_k8192_c12288,bf16,NT,4096,4096,8192,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0287_bf16_nn_g3_m4096_n4096_k8192_c12288,bf16,NN,4096,4096,8192,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0288_bf16_tn_g3_m4096_n4096_k8192_c24576,bf16,TN,4096,4096,8192,3,8192;8192;8192,24576,1,both,4,10,30,3
matrix_0289_bf16_nt_g4_m4096_n2048_k4096_c16384,bf16,NT,4096,2048,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0290_bf16_nn_g4_m4096_n2048_k4096_c16384,bf16,NN,4096,2048,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0291_bf16_tn_g4_m4096_n2048_k4096_c16384,bf16,TN,4096,2048,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0292_bf16_nt_g4_m4096_n3072_k4096_c16384,bf16,NT,4096,3072,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0293_bf16_nn_g4_m4096_n3072_k4096_c16384,bf16,NN,4096,3072,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0294_bf16_tn_g4_m4096_n3072_k4096_c16384,bf16,TN,4096,3072,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0295_bf16_nt_g4_m4096_n4096_k4096_c16384,bf16,NT,4096,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0296_bf16_nn_g4_m4096_n4096_k4096_c16384,bf16,NN,4096,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0297_bf16_tn_g4_m4096_n4096_k4096_c16384,bf16,TN,4096,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0298_bf16_nt_g4_m4096_n5120_k4096_c16384,bf16,NT,4096,5120,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0299_bf16_nn_g4_m4096_n5120_k4096_c16384,bf16,NN,4096,5120,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0300_bf16_tn_g4_m4096_n5120_k4096_c16384,bf16,TN,4096,5120,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0301_bf16_nt_g4_m4096_n6144_k4096_c16384,bf16,NT,4096,6144,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0302_bf16_nn_g4_m4096_n6144_k4096_c16384,bf16,NN,4096,6144,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0303_bf16_tn_g4_m4096_n6144_k4096_c16384,bf16,TN,4096,6144,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0304_bf16_nt_g4_m4096_n7168_k4096_c16384,bf16,NT,4096,7168,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0305_bf16_nn_g4_m4096_n7168_k4096_c16384,bf16,NN,4096,7168,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0306_bf16_tn_g4_m4096_n7168_k4096_c16384,bf16,TN,4096,7168,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0307_bf16_nt_g4_m1024_n4096_k4096_c4096,bf16,NT,1024,4096,4096,4,1024;1024;1024;1024,4096,1,both,4,10,30,3
matrix_0308_bf16_nn_g4_m1024_n4096_k4096_c4096,bf16,NN,1024,4096,4096,4,1024;1024;1024;1024,4096,1,both,4,10,30,3
matrix_0309_bf16_tn_g4_m1024_n4096_k4096_c16384,bf16,TN,1024,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0310_bf16_nt_g4_m2048_n4096_k4096_c8192,bf16,NT,2048,4096,4096,4,2048;2048;2048;2048,8192,1,both,4,10,30,3
matrix_0311_bf16_nn_g4_m2048_n4096_k4096_c8192,bf16,NN,2048,4096,4096,4,2048;2048;2048;2048,8192,1,both,4,10,30,3
matrix_0312_bf16_tn_g4_m2048_n4096_k4096_c16384,bf16,TN,2048,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0313_bf16_nt_g4_m4096_n4096_k1024_c16384,bf16,NT,4096,4096,1024,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0314_bf16_nn_g4_m4096_n4096_k1024_c16384,bf16,NN,4096,4096,1024,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0315_bf16_tn_g4_m4096_n4096_k1024_c4096,bf16,TN,4096,4096,1024,4,1024;1024;1024;1024,4096,1,both,4,10,30,3
matrix_0316_bf16_nt_g4_m4096_n4096_k2048_c16384,bf16,NT,4096,4096,2048,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0317_bf16_nn_g4_m4096_n4096_k2048_c16384,bf16,NN,4096,4096,2048,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0318_bf16_tn_g4_m4096_n4096_k2048_c8192,bf16,TN,4096,4096,2048,4,2048;2048;2048;2048,8192,1,both,4,10,30,3
matrix_0319_bf16_nt_g4_m4096_n4096_k8192_c16384,bf16,NT,4096,4096,8192,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0320_bf16_nn_g4_m4096_n4096_k8192_c16384,bf16,NN,4096,4096,8192,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0321_bf16_tn_g4_m4096_n4096_k8192_c32768,bf16,TN,4096,4096,8192,4,8192;8192;8192;8192,32768,1,both,4,10,30,3
matrix_0322_bf16_nt_g5_m4096_n2048_k4096_c20480,bf16,NT,4096,2048,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0323_bf16_nn_g5_m4096_n2048_k4096_c20480,bf16,NN,4096,2048,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0324_bf16_tn_g5_m4096_n2048_k4096_c20480,bf16,TN,4096,2048,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0325_bf16_nt_g5_m4096_n3072_k4096_c20480,bf16,NT,4096,3072,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0326_bf16_nn_g5_m4096_n3072_k4096_c20480,bf16,NN,4096,3072,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0327_bf16_tn_g5_m4096_n3072_k4096_c20480,bf16,TN,4096,3072,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0328_bf16_nt_g5_m4096_n4096_k4096_c20480,bf16,NT,4096,4096,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0329_bf16_nn_g5_m4096_n4096_k4096_c20480,bf16,NN,4096,4096,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0330_bf16_tn_g5_m4096_n4096_k4096_c20480,bf16,TN,4096,4096,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0331_bf16_nt_g5_m4096_n5120_k4096_c20480,bf16,NT,4096,5120,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
